match_title,match_id,team1_name,team2_name,team1_side,team2_side,team1_pick,team2_pick,winner,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,Game 2: 6811014822,Tundra Esports,Entity,The Radiant,The Dire,,1st Pick,Tundra,Crystal Maiden,Enigma,Doom,Broodmother,Undying,Visage,Luna,Batrider,Queen of Pain,Beastmaster,Oracle,Lycan,Marci,Naga Siren,Nyx Assassin,Hoodwink,Morphling,Outworld Destroyer,Ancient Apparition,Clockwerk,Abaddon,Sven,Brewmaster,Slark
,Game 1: 6810906509,Shopify Rebellion,BOOM Esports,The Dire,The Radiant,1st Pick,,BOOM,Silencer,Shadow Fiend,Pangolier,Broodmother,Primal Beast,Marci,Enigma,Pudge,Ember Spirit,Crystal Maiden,Lifestealer,Nyx Assassin,Morphling,Lina,Leshrac,Invoker,Chen,Witch Doctor,Ursa,Beastmaster,Sven,Night Stalker,Vengeful Spirit,Bristleback
,Game 2: 6810950150,Shopify Rebellion,BOOM Esports,The Dire,The Radiant,1st Pick,,BOOM,Nyx Assassin,Shadow Fiend,Clockwerk,Broodmother,Primal Beast,Marci,Enigma,Crystal Maiden,Leshrac,Pudge,Ember Spirit,Earthshaker,Storm Spirit,Silencer,Disruptor,Naga Siren,Rubick,Bristleback,Pangolier,Batrider,Zeus,Timbersaw,Viper,Kunkka
,Game 1: 6810903010,PSG.LGD,BetBoom Team,The Dire,The Radiant,1st Pick,,PSG.LGD,Batrider,Shadow Fiend,Undying,Enigma,Primal Beast,Marci,Leshrac,Lina,Beastmaster,Broodmother,Visage,Snapfire,Clockwerk,Silencer,Earthshaker,Lich,Lifestealer,Sniper,Shadow Demon,Lycan,Death Prophet,Tiny,Centaur Warrunner,Slardar
,Game 2: 6810944275,PSG.LGD,BetBoom Team,The Radiant,The Dire,,1st Pick,BetBoom,Tiny,Primal Beast,Lich,Undying,Marci,Shadow Fiend,Jakiro,Sniper,Broodmother,Beastmaster,Storm Spirit,Batrider,Centaur Warrunner,Pangolier,Nyx Assassin,Mars,Phoenix,Vengeful Spirit,Ember Spirit,Zeus,Kunkka,Death Prophet,Nature's Prophet,Alchemist
,Game 1: 6810903428,Thiuth Gaming,Gaimin Gladiators,The Dire,The Radiant,,1st Pick,GG,Marci,Broodmother,Primal Beast,Shadow Fiend,Enchantress,Leshrac,Clockwerk,Pangolier,Bloodseeker,Drow Ranger,Undying,Morphling,Slark,Sniper,Crystal Maiden,Brewmaster,Silencer,Lifestealer,Visage,Ursa,Mirana,Templar Assassin,Faceless Void,Doom
,Game 2: 6810950415,Thiuth Gaming,Gaimin Gladiators,The Radiant,The Dire,1st Pick,,GG,Enchantress,Shadow Fiend,Broodmother,Primal Beast,Marci,Undying,Rubick,Enigma,Pangolier,Lich,Beastmaster,Slark,Tidehunter,Leshrac,Brewmaster,Ember Spirit,Snapfire,Morphling,Invoker,Faceless Void,Monkey King,Drow Ranger,Sniper,Storm Spirit
,Game 1: 6810903559,OG,Knights,The Dire,The Radiant,1st Pick,,OG,Leshrac,Marci,Lich,Primal Beast,Shadow Fiend,Disruptor,Undying,Snapfire,Enigma,Slardar,Morphling,Ember Spirit,Faceless Void,Bloodseeker,Pangolier,Oracle,Sand King,Drow Ranger,Broodmother,Arc Warden,Beastmaster,Storm Spirit,Nature's Prophet,Dawnbreaker
,Game 2: 6810942576,OG,Knights,The Radiant,The Dire,,1st Pick,OG,Clockwerk,Marci,Oracle,Undying,Primal Beast,Pangolier,Lich,Shadow Fiend,Morphling,Bloodseeker,Faceless Void,Beastmaster,Shadow Demon,Enigma,Tiny,Omniknight,Lion,Razor,Monkey King,Queen of Pain,Lone Druid,Batrider,Weaver,Lifestealer
,Game 1: 6810895741,Team Liquid,Ukumari,The Radiant,The Dire,,1st Pick,Liquid,Primal Beast,Marci,Enigma,Shadow Fiend,Undying,Snapfire,Pangolier,Puck,Tiny,Morphling,Naga Siren,Death Prophet,Void Spirit,Faceless Void,Nyx Assassin,Bloodseeker,Hoodwink,Lone Druid,Beastmaster,Tidehunter,Visage,Mars,Brewmaster,Broodmother
,Game 2: 6810932324,Team Liquid,Ukumari,The Radiant,The Dire,1st Pick,,Liquid,Shadow Fiend,Marci,Death Prophet,Lone Druid,Enigma,Pangolier,Tiny,Primal Beast,Silencer,Clockwerk,Tidehunter,Bloodseeker,Mars,Bane,Disruptor,Crystal Maiden,Tusk,Morphling,Venomancer,Pudge,Centaur Warrunner,Slark,Drow Ranger,Broodmother
,Game 1: 6810822833,Team Spirit,beastcoast,The Dire,The Radiant,1st Pick,,bc,Silencer,Pangolier,Clockwerk,Primal Beast,Tiny,Nyx Assassin,Enigma,Enchantress,Crystal Maiden,Beastmaster,Batrider,Mars,Leshrac,Night Stalker,Marci,Doom,Monkey King,Shadow Fiend,Venomancer,Queen of Pain,Naga Siren,Lina,Rubick,Wraith King
,Game 2: 6810872192,Team Spirit,beastcoast,The Dire,The Radiant,,1st Pick,TSpirit,Pangolier,Nyx Assassin,Leshrac,Enigma,Primal Beast,Clockwerk,Doom,Wraith King,Invoker,Shadow Fiend,Naga Siren,Marci,Batrider,Snapfire,Phoenix,Silencer,Tusk,Storm Spirit,Slark,Death Prophet,Lifestealer,Mirana,Puck,Morphling
,Game 1: 6810818538,Fnatic,Tundra Esports,The Radiant,The Dire,,1st Pick,Tundra,Tiny,Doom,Enigma,Undying,Crystal Maiden,Clockwerk,Death Prophet,Broodmother,Monkey King,Chaos Knight,Pangolier,Bloodseeker,Templar Assassin,Razor,Pudge,Hoodwink,Lifestealer,Lich,Shadow Fiend,Tusk,Queen of Pain,Batrider,Primal Beast,Huskar
,Game 2: 6810862848,Fnatic,Tundra Esports,The Radiant,The Dire,1st Pick,,Tundra,Doom,Enigma,Broodmother,Tiny,Crystal Maiden,Silencer,Primal Beast,Pangolier,Bloodseeker,Shadow Demon,Beastmaster,Monkey King,Shadow Fiend,Templar Assassin,Clockwerk,Marci,Lone Druid,Tidehunter,Lifestealer,Razor,Slark,Viper,Hoodwink,Naga Siren
,Game 1: 6810821982,Talon,Entity,The Radiant,The Dire,1st Pick,,TLN,Visage,Doom,Broodmother,Leshrac,Marci,Shadow Fiend,Omniknight,Lina,Naga Siren,Enchantress,Lycan,Shadow Demon,Beastmaster,Morphling,Tiny,Undying,Rubick,Silencer,Brewmaster,Drow Ranger,Viper,Slark,Pudge,Batrider
,Game 2: 6810862193,Talon,Entity,The Radiant,The Dire,1st Pick,,TLN,Visage,Doom,Broodmother,Marci,Nyx Assassin,Undying,Shadow Fiend,Lina,Naga Siren,Enchantress,Lycan,Morphling,Beastmaster,Silencer,Enigma,Dawnbreaker,Vengeful Spirit,Drow Ranger,Brewmaster,Sniper,Sven,Gyrocopter,Pangolier,Tiny
,Game 1: 6810821187,Team Secret,Team Aster,The Radiant,The Dire,,1st Pick,Secret,Nyx Assassin,Marci,Shadow Fiend,Primal Beast,Tiny,Leshrac,Tusk,Enigma,Chen,Lina,Gyrocopter,Undying,Sniper,Crystal Maiden,Silencer,Snapfire,Ember Spirit,Monkey King,Broodmother,Drow Ranger,Dawnbreaker,Lifestealer,Nature's Prophet,Magnus
,Game 2: 6810863490,Team Secret,Team Aster,The Radiant,The Dire,1st Pick,,Secret,Undying,Nyx Assassin,Primal Beast,Marci,Tusk,Crystal Maiden,Tiny,Leshrac,Lina,Monkey King,Shadow Fiend,Razor,Broodmother,Lifestealer,Visage,Bloodseeker,Disruptor,Puck,Luna,Sniper,Ursa,Doom,Kunkka,Morphling
,Game 1: 6810825713,Thunder Awaken,TSM,The Radiant,The Dire,1st Pick,,THUNDER,Broodmother,Enigma,Undying,Marci,Nyx Assassin,Shadow Fiend,Clockwerk,Tiny,Beastmaster,Silencer,Mars,Dawnbreaker,Kunkka,Crystal Maiden,Mirana,Disruptor,Pudge,Slardar,Ursa,Dark Seer,Lifestealer,Brewmaster,Snapfire,Pangolier
,Game 2: 6810862170,Thunder Awaken,TSM,The Radiant,The Dire,,1st Pick,TSM,Tiny,Undying,Crystal Maiden,Broodmother,Marci,Dawnbreaker,Nyx Assassin,Shadow Fiend,Drow Ranger,Beastmaster,Sniper,Faceless Void,Pudge,Visage,Lich,Silencer,Earthshaker,Monkey King,Batrider,Viper,Leshrac,Slark,Venomancer,Kunkka
,Game 1: 6810014272,Team Liquid,BOOM Esports,The Dire,The Radiant,1st Pick,,Liquid,Primal Beast,Shadow Fiend,Silencer,Enigma,Marci,Tiny,Snapfire,Pangolier,Bloodseeker,Lone Druid,Mars,Pudge,Morphling,Broodmother,Undying,Beastmaster,Disruptor,Phantom Assassin,Tidehunter,Faceless Void,Magnus,Terrorblade,Luna,Underlord
,Game 2: 6810103823,Team Liquid,BOOM Esports,The Radiant,The Dire,,1st Pick,Liquid,Shadow Fiend,Primal Beast,Leshrac,Marci,Tiny,Enigma,Undying,Silencer,Lone Druid,Pangolier,Pudge,Death Prophet,Faceless Void,Mars,Nyx Assassin,Tidehunter,Lina,Invoker,Terrorblade,Gyrocopter,Morphling,Naga Siren,Lifestealer,Slark
,Game 1: 6809888330,PSG.LGD,Gaimin Gladiators,The Radiant,The Dire,,1st Pick,PSG.LGD,Enigma,Enchantress,Primal Beast,Undying,Shadow Fiend,Marci,Silencer,Broodmother,Naga Siren,Tiny,Morphling,Pangolier,Tidehunter,Tusk,Pudge,Rubick,Ogre Magi,Dawnbreaker,Templar Assassin,Ursa,Lina,Lifestealer,Ember Spirit,Sniper
,Game 2: 6809991048,PSG.LGD,Gaimin Gladiators,The Radiant,The Dire,,1st Pick,GG,Enigma,Enchantress,Marci,Shadow Fiend,Primal Beast,Undying,Leshrac,Silencer,Nyx Assassin,Pangolier,Shadow Demon,Chen,Tiny,Batrider,Clockwerk,Venomancer,Broodmother,Naga Siren,Tidehunter,Sven,Mars,Drow Ranger,Pudge,Legion Commander
,Game 1: 6809858739,OG,BetBoom Team,The Radiant,The Dire,,1st Pick,BetBoom,Razor,Undying,Clockwerk,Marci,Primal Beast,Timbersaw,Shadow Demon,Leshrac,Morphling,Silencer,Batrider,Nyx Assassin,Ember Spirit,Tusk,Enchantress,Faceless Void,Crystal Maiden,Puck,Templar Assassin,Night Stalker,Lone Druid,Skywrath Mage,Visage,Ursa
,Game 2: 6809980949,OG,BetBoom Team,The Dire,The Radiant,,1st Pick,OG,Clockwerk,Undying,Timbersaw,Marci,Primal Beast,Pangolier,Oracle,Bloodseeker,Morphling,Shadow Fiend,Ember Spirit,Sniper,Batrider,Visage,Crystal Maiden,Leshrac,Silencer,Slardar,Templar Assassin,Enigma,Faceless Void,Beastmaster,Troll Warlord,Luna
,Game 1: 6809806814,Thiuth Gaming,Ukumari,The Radiant,The Dire,,1st Pick,Uku,Lich,Marci,Leshrac,Enigma,Shadow Fiend,Primal Beast,Clockwerk,Undying,Morphling,Death Prophet,Sniper,Broodmother,Naga Siren,Batrider,Lina,Puck,Tiny,Venomancer,Bloodseeker,Dark Seer,Templar Assassin,Beastmaster,Weaver,Sven
,Game 2: 6809894646,Thiuth Gaming,Ukumari,The Dire,The Radiant,,1st Pick,Uku,Lich,Shadow Fiend,Silencer,Enigma,Marci,Primal Beast,Bane,Morphling,Ancient Apparition,Undying,Naga Siren,Broodmother,Slark,Visage,Skywrath Mage,Clockwerk,Venomancer,Terrorblade,Kunkka,Pangolier,Void Spirit,Zeus,Puck,Beastmaster
,Game 1: 6809815986,Team Secret,Entity,The Radiant,The Dire,1st Pick,,Secret,Undying,Shadow Fiend,Leshrac,Sniper,Marci,Nyx Assassin,Enigma,Gyrocopter,Morphling,Beastmaster,Pudge,Pangolier,Naga Siren,Rubick,Jakiro,Disruptor,Broodmother,Ember Spirit,Legion Commander,Templar Assassin,Batrider,Primal Beast,Kunkka,Lina
,Game 2: 6809895411,Team Secret,Entity,The Radiant,The Dire,,1st Pick,Secret,Shadow Fiend,Marci,Primal Beast,Broodmother,Nyx Assassin,Enigma,Tusk,Leshrac,Sniper,Gyrocopter,Pangolier,Pudge,Bloodseeker,Silencer,Chen,Naga Siren,Jakiro,Lina,Monkey King,Beastmaster,Huskar,Visage,Arc Warden,Lifestealer
,Game 1: 6809812984,Shopify Rebellion,Knights,The Radiant,The Dire,1st Pick,,SR,Leshrac,Primal Beast,Enigma,Marci,Shadow Fiend,Lich,Tiny,Broodmother,Naga Siren,Sven,Tidehunter,Ember Spirit,Pangolier,Undying,Dawnbreaker,Clockwerk,Silencer,Morphling,Queen of Pain,Batrider,Puck,Void Spirit,Storm Spirit,Nyx Assassin
,Game 2: 6809875296,Shopify Rebellion,Knights,The Dire,The Radiant,,1st Pick,SR,Primal Beast,Leshrac,Lich,Broodmother,Marci,Shadow Fiend,Sven,Batrider,Beastmaster,Lone Druid,Pangolier,Morphling,Legion Commander,Terrorblade,Vengeful Spirit,Silencer,Drow Ranger,Lycan,Storm Spirit,Tidehunter,Queen of Pain,Enigma,Brewmaster,Puck
,Game 1: 6809734353,Team Spirit,Tundra Esports,The Dire,The Radiant,1st Pick,,Tundra,Enigma,Primal Beast,Tiny,Pangolier,Marci,Crystal Maiden,Doom,Shadow Fiend,Chaos Knight,Beastmaster,Sniper,Faceless Void,Ursa,Hoodwink,Mirana,Shadow Demon,Axe,Lifestealer,Outworld Destroyer,Puck,Earthshaker,Ember Spirit,Invoker,Tusk
,Game 2: 6809802856,Team Spirit,Tundra Esports,The Radiant,The Dire,1st Pick,,Tundra,Enigma,Primal Beast,Doom,Pangolier,Undying,Marci,Crystal Maiden,Mars,Chaos Knight,Shadow Fiend,Lifestealer,Kunkka,Broodmother,Morphling,Tusk,Faceless Void,Jakiro,Tidehunter,Sniper,Outworld Destroyer,Ursa,Beastmaster,Tiny,Naga Siren
,Game 1: 6809719707,beastcoast,TSM,The Radiant,The Dire,1st Pick,,bc,Shadow Fiend,Primal Beast,Undying,Marci,Clockwerk,Leshrac,Snapfire,Nyx Assassin,Beastmaster,Lina,Visage,Pangolier,Broodmother,Sniper,Omniknight,Puck,Brewmaster,Slark,Night Stalker,Terrorblade,Lycan,Morphling,Luna,Enigma
,Game 2: 6809783372,beastcoast,TSM,The Dire,The Radiant,,1st Pick,bc,Nyx Assassin,Marci,Shadow Fiend,Undying,Primal Beast,Clockwerk,Leshrac,Broodmother,Naga Siren,Invoker,Mars,Puck,Sven,Pangolier,Crystal Maiden,Hoodwink,Shadow Demon,Ember Spirit,Terrorblade,Morphling,Templar Assassin,Lifestealer,Luna,Faceless Void
,Game 1: 6809576271,Team Liquid,OG,The Dire,The Radiant,1st Pick,,Liquid,Razor,Undying,Primal Beast,Marci,Enigma,Silencer,Pangolier,Shadow Fiend,Drow Ranger,Beastmaster,Mars,Tusk,Naga Siren,Slark,Enchantress,Clockwerk,Witch Doctor,Templar Assassin,Tidehunter,Faceless Void,Viper,Monkey King,Pudge,Batrider
,Game 2: 6809741589,Team Liquid,OG,The Radiant,The Dire,,1st Pick,Liquid,Primal Beast,Marci,Enigma,Morphling,Undying,Shadow Fiend,Snapfire,Arc Warden,Beastmaster,Batrider,Lone Druid,Mars,Faceless Void,Viper,Tusk,Razor,Earthshaker,Broodmother,Venomancer,Naga Siren,Pangolier,Tidehunter,Magnus,Death Prophet
,Game 1: 6809665094,Fnatic,Talon,The Radiant,The Dire,,1st Pick,TLN,Enigma,Doom,Shadow Fiend,Marci,Nyx Assassin,Undying,Tiny,Leshrac,Sniper,Snapfire,Lina,Morphling,Pudge,Bloodseeker,Pangolier,Beastmaster,Enchantress,Terrorblade,Viper,Drow Ranger,Visage,Faceless Void,Slark,Primal Beast
,Game 2: 6809742301,Fnatic,Talon,The Radiant,The Dire,,1st Pick,TLN,Enigma,Doom,Shadow Fiend,Marci,Nyx Assassin,Undying,Tiny,Leshrac,Sniper,Beastmaster,Lina,Snapfire,Pudge,Slark,Puck,Disruptor,Dawnbreaker,Lifestealer,Visage,Faceless Void,Death Prophet,Morphling,Razor,Batrider
,Game 1: 6809701946,Team Aster,Thunder Awaken,The Dire,The Radiant,1st Pick,,THUNDER,Dawnbreaker,Broodmother,Enigma,Primal Beast,Marci,Tiny,Crystal Maiden,Visage,Monkey King,Drow Ranger,Pudge,Death Prophet,Batrider,Undying,Nyx Assassin,Clockwerk,Shadow Fiend,Dark Seer,Morphling,Lifestealer,Lone Druid,Faceless Void,Juggernaut,Templar Assassin
,Game 2: 6809743691,Team Aster,Thunder Awaken,The Dire,The Radiant,,1st Pick,Aster,Primal Beast,Dawnbreaker,Broodmother,Marci,Nyx Assassin,Tiny,Visage,Pudge,Lifestealer,Enigma,Undying,Dark Seer,Slark,Crystal Maiden,Snapfire,Brewmaster,Silencer,Ursa,Death Prophet,Shadow Fiend,Queen of Pain,Batrider,Ember Spirit,Omniknight
,Game 1: 6809580040,Thiuth Gaming,BetBoom Team,The Dire,The Radiant,,1st Pick,BetBoom,Leshrac,Enigma,Marci,Primal Beast,Nyx Assassin,Tiny,Shadow Fiend,Sniper,Broodmother,Batrider,Undying,Visage,Ember Spirit,Beastmaster,Vengeful Spirit,Silencer,Dawnbreaker,Monkey King,Mars,Viper,Centaur Warrunner,Venomancer,Zeus,Slardar
,Game 2: 6809656584,Thiuth Gaming,BetBoom Team,The Radiant,The Dire,,1st Pick,THIU,Shadow Fiend,Enigma,Leshrac,Batrider,Marci,Primal Beast,Lich,Pangolier,Bloodseeker,Beastmaster,Ember Spirit,Visage,Morphling,Kunkka,Puck,Shadow Shaman,Nature's Prophet,Grimstroke,Monkey King,Night Stalker,Faceless Void,Doom,Zeus,Spectre
,Game 1: 6809612544,Shopify Rebellion,Gaimin Gladiators,The Radiant,The Dire,1st Pick,,SR,Enchantress,Shadow Fiend,Enigma,Leshrac,Primal Beast,Marci,Disruptor,Broodmother,Naga Siren,Undying,Tidehunter,Hoodwink,Ember Spirit,Bloodseeker,Pangolier,Shadow Shaman,Sven,Drow Ranger,Underlord,Pudge,Timbersaw,Sniper,Terrorblade,Brewmaster
,Game 2: 6809660879,Shopify Rebellion,Gaimin Gladiators,The Radiant,The Dire,1st Pick,,SR,Enchantress,Broodmother,Marci,Beastmaster,Shadow Fiend,Primal Beast,Snapfire,Sven,Sniper,Disruptor,Morphling,Rubick,Batrider,Mars,Undying,Ember Spirit,Enigma,Drow Ranger,Tidehunter,Tiny,Storm Spirit,Tusk,Mirana,Visage
,Game 1: 6809561963,Knights,Ukumari,The Radiant,The Dire,,1st Pick,Uku,Lich,Marci,Nyx Assassin,Undying,Shadow Fiend,Enigma,Tiny,Silencer,Lina,Tidehunter,Leshrac,Beastmaster,Morphling,Rubick,Disruptor,Clockwerk,Pangolier,Bloodseeker,Puck,Broodmother,Queen of Pain,Brewmaster,Mars,Ember Spirit
,Game 2: 6809638522,Knights,Ukumari,The Radiant,The Dire,,1st Pick,Uku,Lich,Marci,Nyx Assassin,Shadow Fiend,Undying,Snapfire,Broodmother,Pangolier,Bloodseeker,Naga Siren,Queen of Pain,Beastmaster,Puck,Magnus,Bane,Tidehunter,Hoodwink,Void Spirit,Slark,Sven,Terrorblade,Templar Assassin,Medusa,Anti-Mage
,Game 1: 6809585544,PSG.LGD,BOOM Esports,The Radiant,The Dire,1st Pick,,PSG.LGD,Chen,Undying,Enigma,Marci,Primal Beast,Mars,Dark Willow,Leshrac,Lina,Visage,Ember Spirit,Death Prophet,Kunkka,Faceless Void,Invoker,Io,Sven,Ancient Apparition,Pudge,Beastmaster,Lifestealer,Brewmaster,Earthshaker,Morphling
,Game 2: 6809621786,PSG.LGD,BOOM Esports,The Dire,The Radiant,1st Pick,,PSG.LGD,Chen,Primal Beast,Enigma,Leshrac,Marci,Undying,Hoodwink,Shadow Fiend,Terrorblade,Pangolier,Sniper,Visage,Mars,Beastmaster,Death Prophet,Broodmother,Disruptor,Templar Assassin,Batrider,Invoker,Naga Siren,Ember Spirit,Storm Spirit,Tiny
,Game 1: 6809499025,Fnatic,Team Aster,The Radiant,The Dire,1st Pick,,Fnatic,Snapfire,Marci,Winter Wyvern,Pangolier,Enigma,Primal Beast,Silencer,Tiny,Visage,Batrider,Templar Assassin,Leshrac,Broodmother,Queen of Pain,Brewmaster,Undying,Slark,Naga Siren,Morphling,Shadow Fiend,Faceless Void,Ember Spirit,Hoodwink,Death Prophet
,Game 2: 6809556554,Fnatic,Team Aster,The Radiant,The Dire,1st Pick,,Fnatic,Snapfire,Pangolier,Winter Wyvern,Marci,Enigma,Silencer,Primal Beast,Tiny,Visage,Batrider,Templar Assassin,Queen of Pain,Broodmother,Morphling,Leshrac,Undying,Terrorblade,Drow Ranger,Dark Seer,Hoodwink,Naga Siren,Invoker,Sniper,Magnus
,Game 1: 6809506315,beastcoast,Talon,The Radiant,The Dire,,1st Pick,bc,Primal Beast,Doom,Enigma,Pangolier,Marci,Shadow Fiend,Clockwerk,Morphling,Ancient Apparition,Puck,Ursa,Beastmaster,Silencer,Leshrac,Crystal Maiden,Undying,Dawnbreaker,Naga Siren,Batrider,Zeus,Timbersaw,Ember Spirit,Queen of Pain,Visage
,Game 2: 6809547720,beastcoast,Talon,The Dire,The Radiant,,1st Pick,bc,Primal Beast,Doom,Silencer,Pangolier,Enigma,Marci,Shadow Fiend,Tusk,Enchantress,Queen of Pain,Sven,Puck,Gyrocopter,Leshrac,Vengeful Spirit,Batrider,Crystal Maiden,Naga Siren,Visage,Faceless Void,Tidehunter,Pudge,Monkey King,Venomancer
,Game 1: 6809501366,TSM,Entity,The Radiant,The Dire,,1st Pick,TSM,Shadow Fiend,Marci,Enigma,Nyx Assassin,Silencer,Leshrac,Omniknight,Drow Ranger,Mars,Invoker,Beastmaster,Lina,Lycan,Visage,Hoodwink,Naga Siren,Pangolier,Axe,Pudge,Death Prophet,Slark,Phoenix,Tiny,Monkey King
,Game 2: 6809539681,TSM,Entity,The Radiant,The Dire,1st Pick,,Entity,Nyx Assassin,Shadow Fiend,Leshrac,Marci,Enigma,Tiny,Arc Warden,Pangolier,Silencer,Clockwerk,Bloodseeker,Rubick,Gyrocopter,Undying,Jakiro,Dazzle,Legion Commander,Lone Druid,Death Prophet,Morphling,Dark Seer,Drow Ranger,Naga Siren,Brewmaster
,Game 1: 6809483969,Team Secret,Team Spirit,The Radiant,The Dire,1st Pick,,TSpirit,Enigma,Marci,Undying,Shadow Fiend,Primal Beast,Nyx Assassin,Leshrac,Chen,Crystal Maiden,Sniper,Faceless Void,Pangolier,Morphling,Monkey King,Clockwerk,Shadow Shaman,Tiny,Doom,Drow Ranger,Slardar,Lifestealer,Lone Druid,Ursa,Troll Warlord
,Game 2: 6809523804,Team Secret,Team Spirit,The Radiant,The Dire,,1st Pick,Secret,Shadow Fiend,Marci,Leshrac,Primal Beast,Clockwerk,Nyx Assassin,Enigma,Pangolier,Sniper,Gyrocopter,Monkey King,Rubick,Ember Spirit,Viper,Bane,Beastmaster,Silencer,Bloodseeker,Zeus,Naga Siren,Storm Spirit,Terrorblade,Spectre,Kunkka
,Game 1: 6809481249,Thunder Awaken,Tundra Esports,The Radiant,The Dire,,1st Pick,THUNDER,Tiny,Doom,Nyx Assassin,Broodmother,Undying,Marci,Dawnbreaker,Beastmaster,Monkey King,Silencer,Sniper,Pangolier,Weaver,Faceless Void,Crystal Maiden,Snapfire,Chaos Knight,Gyrocopter,Ember Spirit,Tusk,Kunkka,Visage,Invoker,Alchemist
,Game 2: 6809522859,Thunder Awaken,Tundra Esports,The Radiant,The Dire,1st Pick,,Tundra,Doom,Tiny,Broodmother,Nyx Assassin,Marci,Crystal Maiden,Undying,Dawnbreaker,Silencer,Gyrocopter,Beastmaster,Monkey King,Enigma,Pangolier,Visage,Luna,Dazzle,Slark,Ember Spirit,Leshrac,Puck,Kunkka,Zeus,Primal Beast
,Game 1: 6809419010,OG,Ukumari,The Radiant,The Dire,,1st Pick,OG,Razor,Marci,Primal Beast,Undying,Shadow Fiend,Viper,Earthshaker,Beastmaster,Enchantress,Clockwerk,Pudge,Pangolier,Naga Siren,Abaddon,Chen,Mirana,Dazzle,Broodmother,Lina,Kunkka,Invoker,Batrider,Chaos Knight,Tinker
,Game 2: 6809455169,OG,Ukumari,The Radiant,The Dire,,1st Pick,Uku,Primal Beast,Marci,Viper,Morphling,Undying,Razor,Snapfire,Faceless Void,Puck,Beastmaster,Slardar,Silencer,Naga Siren,Enigma,Earth Spirit,Hoodwink,Broodmother,Alchemist,Ember Spirit,Invoker,Kunkka,Pangolier,Zeus,Void Spirit
,Game 1: 6809417173,Team Liquid,Gaimin Gladiators,The Radiant,The Dire,,1st Pick,GG,Enigma,Primal Beast,Undying,Marci,Shadow Fiend,Leshrac,Tiny,Enchantress,Drow Ranger,Pangolier,Pudge,Beastmaster,Morphling,Tusk,Lich,Underlord,Disruptor,Lifestealer,Batrider,Ember Spirit,Puck,Storm Spirit,Ursa,Venomancer
,Game 2: 6809462072,Team Liquid,Gaimin Gladiators,The Dire,The Radiant,,1st Pick,Liquid,Undying,Marci,Enigma,Shadow Fiend,Primal Beast,Clockwerk,Leshrac,Enchantress,Lone Druid,Drow Ranger,Pudge,Morphling,Shadow Demon,Invoker,Witch Doctor,Faceless Void,Snapfire,Centaur Warrunner,Naga Siren,Beastmaster,Templar Assassin,Broodmother,Pangolier,Sniper
,Game 1: 6809417403,Thiuth Gaming,BOOM Esports,The Dire,The Radiant,,1st Pick,THIU,Marci,Primal Beast,Leshrac,Morphling,Shadow Fiend,Enigma,Tiny,Silencer,Lina,Pangolier,Snapfire,Mars,Terrorblade,Ember Spirit,Undying,Tusk,Death Prophet,Sniper,Batrider,Broodmother,Void Spirit,Kunkka,Puck,Monkey King
,Game 2: 6809456477,Thiuth Gaming,BOOM Esports,The Dire,The Radiant,1st Pick,,THIU,Clockwerk,Marci,Undying,Enigma,Primal Beast,Shadow Fiend,Tiny,Morphling,Ancient Apparition,Leshrac,Batrider,Lina,Beastmaster,Snapfire,Disruptor,Visage,Elder Titan,Pudge,Doom,Death Prophet,Brewmaster,Sniper,Invoker,Phoenix
,Game 1: 6809417360,Shopify Rebellion,BetBoom Team,The Radiant,The Dire,1st Pick,,SR,Enigma,Broodmother,Marci,Shadow Fiend,Primal Beast,Clockwerk,Visage,Snapfire,Leshrac,Faceless Void,Batrider,Ember Spirit,Silencer,Bloodseeker,Pangolier,Pudge,Sven,Vengeful Spirit,Dawnbreaker,Sniper,Timbersaw,Undying,Templar Assassin,Slardar
,Game 2: 6809454703,Shopify Rebellion,BetBoom Team,The Dire,The Radiant,,1st Pick,SR,Shadow Fiend,Batrider,Faceless Void,Enigma,Primal Beast,Marci,Razor,Nature's Prophet,Ember Spirit,Lich,Broodmother,Sniper,Templar Assassin,Leshrac,Crystal Maiden,Spirit Breaker,Silencer,Naga Siren,Invoker,Zeus,Storm Spirit,Pangolier,Queen of Pain,Puck
,Game 1: 6809420587,PSG.LGD,Knights,The Radiant,The Dire,1st Pick,,PSG.LGD,Enigma,Undying,Tiny,Marci,Primal Beast,Shadow Fiend,Nyx Assassin,Chen,Death Prophet,Nature's Prophet,Broodmother,Drow Ranger,Batrider,Terrorblade,Snapfire,Monkey King,Beastmaster,Pangolier,Venomancer,Bloodseeker,Viper,Ember Spirit,Dark Willow,Jakiro
,Game 1: 6808292501,Team Spirit,TSM,The Radiant,The Dire,1st Pick,,TSM,Enigma,Primal Beast,Broodmother,Pangolier,Marci,Undying,Shadow Fiend,Drow Ranger,Sniper,Visage,Mars,Mirana,Beastmaster,Hoodwink,Crystal Maiden,Bane,Lina,Dawnbreaker,Phantom Assassin,Centaur Warrunner,Storm Spirit,Magnus,Slardar,Naga Siren
