team,first_pick,side,bans,picks
Thunder Awaken,True,The Radiant,"['Primal Beast', 'Leshrac', 'Morphling', 'Lifestealer', 'Lone Druid', 'Lina', 'Queen of Pain']","['Marci', 'Gyrocopter', 'Disruptor', 'Tidehunter', 'Ember Spirit']"
Team Liquid,True,The Dire,"['Broodmother', 'Primal Beast', 'Gyrocopter', 'Lone Druid', 'Silencer', 'Slardar', 'Puck']","['Marci', 'Enigma', 'Undying', 'Pudge', 'Ember Spirit']"
Thunder Awaken,True,The Radiant,"['Broodmother', 'Primal Beast', 'Gyrocopter', 'Lone Druid', 'Silencer', 'Slardar', 'Puck']","['Marci', 'Enigma', 'Undying', 'Pudge', 'Ember Spirit']"
PSG.LGD,True,The Radiant,"['Crystal Maiden', 'Leshrac', 'Brewmaster', 'Lifestealer', 'Mars', 'Pudge', 'Bristleback']","['Primal Beast', 'Ember Spirit', 'Disruptor', 'Visage', 'Riki']"
Team Aster,True,The Dire,"['Crystal Maiden', 'Leshrac', 'Brewmaster', 'Lifestealer', 'Mars', 'Pudge', 'Bristleback']","['Primal Beast', 'Ember Spirit', 'Disruptor', 'Visage', 'Riki']"
PSG.LGD,True,The Radiant,"['Monkey King', 'Disruptor', 'Morphling', 'Sniper', 'Drow Ranger', 'Zeus', 'Puck']","['Sven', 'Lina', 'Gyrocopter', 'Mirana', 'Mars']"
Team Aster,True,The Dire,"['Monkey King', 'Disruptor', 'Morphling', 'Sniper', 'Drow Ranger', 'Zeus', 'Puck']","['Sven', 'Lina', 'Gyrocopter', 'Mirana', 'Mars']"
Team Liquid,True,The Dire,"['Razor', 'Viper', 'Sniper', 'Mars', 'Slardar', 'Naga Siren', 'Templar Assassin']","['Marci', 'Lina', 'Undying', 'Drow Ranger', 'Pangolier']"
OG,True,The Radiant,"['Razor', 'Viper', 'Sniper', 'Mars', 'Slardar', 'Naga Siren', 'Templar Assassin']","['Marci', 'Lina', 'Undying', 'Drow Ranger', 'Pangolier']"
Team Liquid,True,The Radiant,"['Undying', 'Enigma', 'Ancient Apparition', 'Shadow Demon', 'Lifestealer', 'Beastmaster', 'Death Prophet']","['Tiny', 'Huskar', 'Snapfire', 'Ember Spirit', ""Nature's Prophet""]"
